url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=4jBcK0cYass,What's New with ChatGPT Voice,65,1.08,44689,"You can now use ChatGPT Voice right inside chat — no separate mode needed.  You can talk, watch answers appear, review earlier messages, and see visuals like images or maps in real time....",success,
https://www.youtube.com/watch?v=WsGVXiWzTpI,Build Hour: Agent Memory Patterns,3464,57.73,9102,"AI agents don’t just reason — they remember. In this Build Hour, we deep-dive into context engineering techniques that enable agents to maintain short-term and long-term memory, personalize...",success,
https://www.youtube.com/watch?v=GXAAzKX6oaQ,Shaping Model Behavior in GPT-5.1— the OpenAI Podcast Ep. 11,1721,28.68,14470,"What does it mean for an AI model to have ""personality""?   Researcher Christina Kim and product manager Laurentia Romaniuk talk about how OpenAI set out to build a model that delivers on both...",success,
https://www.youtube.com/watch?v=0luMwmnvRuQ,Scania accelerates operations across its global workforce with ChatGPT,109,1.82,10040,"Scania builds the trucks, buses, and transport systems that keep the world moving. With AI in their engineering-led organisation, they're evolving from vehicle maker to sustainable transport...",success,
https://www.youtube.com/watch?v=0sNOaD9xT_4,How AI Is Accelerating Scientific Discovery Today and What's Ahead — the OpenAI Podcast Ep. 10,2893,48.22,30850,AI is beginning to change how science gets done.   Head of OpenAI for Science Kevin Weil and OpenAI research scientist Alex Lupsasca talk about the early signs of acceleration researchers are...,success,
https://www.youtube.com/watch?v=LXwGSHZXbKs,"How Philips is scaling AI literacy across 70,000 employees",128,2.13,12243,"Philips is building AI literacy into a company-wide capability, training executives, running use case challenges, and rolling out ChatGPT Enterprise to 70,000+ employees. Read more: https://openai....",success,
https://www.youtube.com/watch?v=6TXXMTYQtHk,Notion’s rebuild for agentic AI: How GPT‑5 helped unlock autonomous workflows,128,2.13,32313,"With OpenAI, Notion became a natively AI-powered workspace. Their integration of GPT-4o, GPT-4o mini, embeddings, and now GPT-5 powers millions of users' workflows, from writing and summarizing...",success,
https://www.youtube.com/watch?v=OtIuu_xYtpw,From pilot to practice: How BBVA is scaling AI across the organization,101,1.68,8582,"Long recognized as one of the world’s most innovative financial institutions, BBVA is applying AI at global scale.   We sat down with Antonio Bravo, Global Head of Data & AI and Elena Alfaro,...",success,
https://www.youtube.com/watch?v=WdbgNC80PMw,ChatGPT Atlas and the next era of web browsing — the OpenAI Podcast Ep. 9,4462,74.37,19865,"How will the internet feel when your browser can actually do things for you?   OpenAI’s Ben Goodger and Darin Fisher, whose past work shaped some of the most popular modern browsers, dive...",success,
https://www.youtube.com/watch?v=1s_7RMG4O4U,Build Hour: Agent RFT,3731,62.18,36528,"Agent RFT enables reasoning models to become even more powerful, tool-using agents by training directly on the workflows they will execute in production. By operating on agent rollouts, reasoning...",success,
https://www.youtube.com/watch?v=HwbSWVg5Ln4,Automatic code reviews with OpenAI Codex,500,8.33,55948,"Maja Trębacz and Romain Huet show you how to set up Codex to automatically review new pull requests in GitHub and in the Codex CLI, and discuss the research approach we used to train our models...",success,
https://www.youtube.com/watch?v=9DyK0Ig6_Rc,Monster Manor by Sora 2,227,3.78,42799,"Happy Halloween from Sora and the monsters of Monster Manor.  Created using characters, now available in the Sora app.",success,
https://www.youtube.com/watch?v=kb9suz-kkoM,Introducing: Sora 2 Character Cameos,62,1.03,63940,Now available in the Sora app.,success,
https://www.youtube.com/watch?v=sAitLFLbgDA,Build Hour: AgentKit,2779,46.32,42747,"Introducing AgentKit—build, deploy, and optimize agentic workflows with a complete set of tools. This Build Hour demos how to design workflows visually and embed agentic UIs faster to create...",success,
https://www.youtube.com/watch?v=F76OjIk6_ko,ENEOS Materials accelerates manufacturing productivity with ChatGPT Enterprise,194,3.23,7627,"As one of Japan’s earliest adopters of ChatGPT Enterprise, ENEOS Materials built 1,000+ custom GPTs, achieved 90%+ weekly usage, and saw over 80% of employees report significant workflow...",success,
https://www.youtube.com/watch?v=vSxQXq0Sxow,"MIXI accelerates secure, organization-wide adoption of ChatGPT Enterprise",190,3.17,7162,"MIXI deployed ChatGPT Enterprise to all employees in 45 days, reaching 80%+ weekly usage within three months and creating 1,600+ GPTs. Teams now work faster and more confidently, with some...",error: Transcripts disabled for video vSxQXq0Sxow,
https://www.youtube.com/watch?v=ngDCxlZcecw,"Sam, Jakub, and Wojciech on the future of OpenAI with audience Q&A",3730,62.17,119572,,"error: Unexpected error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",
https://www.youtube.com/watch?v=fK_bm84N7bs,Build beautiful frontends with OpenAI Codex,509,8.48,320565,"Codex’s multimodal abilities can help you design, iterate, and build beautiful frontends for your apps.   Channing Conger and Romain Huet show you how to use Codex cloud as your front-end...",success,
