url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=fgzr3PhzIMk,Why AI Moats Still Matter (And How They've Changed),3045,50.75,6567,"a16z General Partners David Haber, Alex Rampell, and Erik Torenberg discuss why 19 out of 20 AI startups building the same thing will die - and why the survivor might charge $20,000 for what...",,
https://www.youtube.com/watch?v=VMv00WR8EaA,The $700 Billion AI Productivity Problem No One's Talking About,3428,57.13,10867,"Russ Fradin sold his first company for $300M. He’s back in the arena with Larridin, helping companies measure just how successful their AI actually is.  In this episode, Russ sits down with...",,
https://www.youtube.com/watch?v=3x0jhpEj_6o,How OpenAI Builds for 800 Million Weekly Users: Model Specialization and Fine-Tuning,3203,53.38,7966,"In this episode, a16z GP Martin Casado sits down with Sherwin Wu, Head of Engineering for the OpenAI Platform, to break down how OpenAI organizes its platform across models, pricing, and infrastruc...",,
https://www.youtube.com/watch?v=jO-SWlW6DFY,The Secret Marketing Strategy That Built a16z: From Zero to Legendary VC Firm,3543,59.05,9385,Marc Andreessen and Ben Horowitz sit down with Margit Wennmachers—the woman who turned two unknown entrepreneurs with $300 million and zero investing track record into the most talked-about...,,
https://www.youtube.com/watch?v=TbFSGiQdCaw,The 2045 Superintelligence Timeline: Epoch AI’s Data-Driven Forecast,3530,58.83,5573,"Epoch AI researchers reveal why Anthropic might beat everyone to the first gigawatt datacenter, why AI could solve the Riemann hypothesis in 5 years, and what 30% GDP growth actually looks...",,
https://www.youtube.com/watch?v=ywhugJuzcyE,Robinhood CEO: Making Everyone An Owner,3836,63.93,12375,"Vlad Tenev built Robinhood by breaking every rule Wall Street wrote: zero commissions when competitors charged $10, mobile-first when ""serious"" investors demanded desktop, a brand that made...",,
https://www.youtube.com/watch?v=OqYUH7r96i4,Ben Horowitz & Marc Andreessen: Why Silicon Valley Turned Against Defense (And How We're Fixing It),4593,76.55,22537,"Palmer Luckey got fired from Meta for backing the wrong candidate—now he's the hero saving American defense, and that shift tells you everything about how fast the ground moved beneath Silicon...",,
https://www.youtube.com/watch?v=Ua8nPJ1_yk8,Emmett Shear on Building AI That Actually Cares: Beyond Control and Steering,4063,67.72,3269,"Emmett Shear, founder of Twitch and former OpenAI interim CEO, challenges the fundamental assumptions driving AGI development. In this conversation with Erik Torenberg and Séb Krier, Shear...",,
https://www.youtube.com/watch?v=M7eXyc8GLSo,The Brutal Truth About Biotech: Why $2B Per Drug Is Killing Innovation,3677,61.28,6074,"Two venture capitalists dissect why biotech burns billions while China runs trials in weeks, and why the next Genentech won't look anything like the last one. Elliot Hershberg reveals the ""three...",,
https://www.youtube.com/watch?v=qzujiCVLfuA,Rocket Companies CEO: Here’s How to Fix the Housing Crisis,3318,55.3,7702,"The Empire State Building took 410 days to build—today, changing a window would take two years.   Alex Rampell (a16z) and Varun Krishna (Rocket CEO) expose how asset inflation turned housing...",,
https://www.youtube.com/watch?v=fBfY7tWCecU,Grant Lee: Building Gamma’s AI Presentation Company to 100 Million Users,3151,52.52,8016,"Grant Lee was told Gamma was ""the worst idea ever heard"" by an investor who hung up mid-Zoom—yet he built it to 100 million users and $100M ARR without spending a dollar on advertising. ...",,
