url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=P7Y-fynYsgE,An AI Expert Warning: 6 People Are (Quietly) Deciding Humanity’s Future! We Must Act Now!,7446,124.1,902547,"AI Expert STUART RUSSELL, exposes the trillion-dollar AI race, why governments won’t regulate, how AGI could replace humans by 2030, and why only a nuclear-level AI catastrophe will wake...",success,
https://www.youtube.com/watch?v=xDQyLnNAXr4,Secret Service Agent: How To Stay In Control When Someone Is Trying To Manipulate You!,4884,81.4,601640,"Ex-Secret Service interrogator DESMOND O’NEILL reveals the 4-step formula for difficult conversations, how to decode narcissism, the secret to communication and real connection - AND debunks...",success,
https://www.youtube.com/watch?v=BFU1OCkhBwo,AI Expert: We Have 2 Years Before Everything Changes! We Need To Start Protesting! - Tristan Harris,8540,142.33,2507835,"Ex-Google Insider and AI Expert TRISTAN HARRIS reveals how ChatGPT, China, and Elon Musk are racing to build uncontrollable AI, and warns it will blackmail humans, hack democracy, and threaten...",success,
https://www.youtube.com/watch?v=KVXnVe8eOkM,Insulin Doctor: This Is The First Sign Of Dementia! The Shocking Link Between Keto & Brain Decline!,6699,111.65,2220885,"No.1 Keto Doctor DR. ANNETTE BOSWORTH reveals how to reverse insulin resistance, cut belly fat, avoid early dementia, why eating late spikes glucose, and the sardine-only reset for ketosis....",success,
https://www.youtube.com/watch?v=5sCGZAcXKWg,Kevin Hart: They're Lying To You About How To Become A Millionaire! I Was Doing 28 Sets A Weekend!,5794,96.57,1782317,"No.1 Comedy Icon KEVIN HART reveals how he built a billion-dollar career on $25, slept in a hallway, overcame failure, and turned standup stress into global Hollywood success.  Kevin Hart is...",success,
https://www.youtube.com/watch?v=qxxnRMT9C-8,World No.1 Sleep Expert: Magnesium Isn’t Helping You Sleep! This Habit Increases Heart Disease 57%!,8247,137.45,1233750,"Dr Matthew Walker is a Professor of Neuroscience and Psychology at the University of California, Berkeley, and one of the world’s leading experts on sleep science, with over 20 years of research....",success,
https://www.youtube.com/watch?v=GFyijjy1KdU,"Tim Ferriss: The Hidden Nerve That Controls Trauma, Mood & Emotional Pain!",4146,69.1,614463,"Health Hacker TIM FERRISS reveals how to naturally calm anxiety, lower stress, balance your nervous system, and boost mental health - without medication.  Tim Ferriss is an entrepreneur, investor,...",error: IP blocked (stopped),
https://www.youtube.com/watch?v=VsTMXuIV3OM,The Woman Who Makes Millionaires: Only 1% of People Do This! The PPF Framework Will 10x Your Income!,6341,105.68,710222,"Millionaire Maker NATALIE DAWSON reveals how to build wealth, scale a 9-figure business, lead with confidence, speak like the 1% elite, master productivity, and create long-term success.  ...",,
https://www.youtube.com/watch?v=hQaN5w3YwtM,No.1 Brain Scientist: Your Brain Is Lying To You! Here's How I Discovered The Truth!,5756,95.93,2452079,"Harvard Neuroscientist DR. JILL BOLTE TAYLOR reveals How to Retrain Your Brain, Heal Trauma, Control Emotions, and Unlock the 4 Characters Running Your Mind.  Dr. Jill Bolte Taylor is a Harvard-tra...",,
https://www.youtube.com/watch?v=jroF3PH-PTs,"Brené Brown: The Algorithms Have Forced Us Into A Hidden Epidemic, This Is The Only Way Out!",6641,110.68,1657372,"No.1 vulnerability expert BRENÉ BROWN exposes how shame, fear, and perfectionism secretly control your life - and reveals proven ways to unlock courage, confidence, trust, connection, and...",,
https://www.youtube.com/watch?v=D3lhrrXb4WI,Kamala Harris: America Is At Breaking Point & I'm Deeply Concerned About The State Of The Country!,6358,105.97,2188141,"Vice-President Kamala Harris breaks silence on the real cost of Trump winning, Biden’s shocking debate day call, why skipping Joe Rogan was a big mistake, election loss lessons, and…will...",,
https://www.youtube.com/watch?v=P1CeHGJOX5g,Longevity Debate: SHOCKING Weight Loss Truth! They've Been Hiding This For YEARS!,9384,156.4,1355728,"The 4 leading women’s health experts reveal what EVERY woman must know about perimenopause workouts, lifting weights, cycle syncing, perimenopause training, and VO2 max!  This 2nd section...",,
https://www.youtube.com/watch?v=4qfxHfBJ3Mw,"Oz Pearlman (Mentalist): This Small Mistake Makes People Dislike You! They Do This, They’re Lying!",4768,79.47,2162874,"Oz Pearlman, the World No.1 magician, exposes how to read people, build trust, and win attention. From Wall Street to the world stage, he shares secret tricks for mindset shifts and memory...",,
https://www.youtube.com/watch?v=UMy6GESNkDc,Jürgen Klopp: Would You Go Back To Manage LFC...? The Real Reason I Fell In Love With Liverpool!,8906,148.43,2124659,"Liverpool FC legend Jürgen Klopp reveals the TRUTH about the Man United offer, Arne Slot, and Michael Edwards, revealing how leadership, success, failure, and fatherhood defined his football...",,
https://www.youtube.com/watch?v=kizDk8idpT8,"Hormone & Fertility Experts: We've Been Lied To About Women's Health! If This Happens, Call A Doctor",12848,214.13,2058124,"The 4 leading powerhouses in women’s health break down urgent topics facing women today: irregular periods, PCOS, endometriosis, perimenopause, and the best diet for hormonal balance.   Part...",,
https://www.youtube.com/watch?v=gW3vVIFRVhw,Neil deGrasse Tyson: The Harsh Truth About Horoscopes (sorry but it’s true),7556,125.93,2961360,"Dr Neil deGrasse Tyson, world-renowned astrophysicist, breaks down the universe, space, black holes, and the Big Bang, uncovering how Elon Musk, AI, SpaceX, and NASA are defining the future...",,
https://www.youtube.com/watch?v=lylGyddTiGg,"Louis Tomlinson: When The Police Knocked... I Just Knew! ""The Room Was Cold That Day"".",7101,118.35,2968504,"Louis Tomlinson, former member of One Direction - one of the most successful and era-defining bands in history, opens up about X Factor fame, the band’s split, the loss of Liam Payne, fatherhood,...",,
https://www.youtube.com/watch?v=jFlnRBO8mcg,The Savings Expert: Passive Income Is A Scam! Post-Traumatic Broke Syndrome Is Controlling Millions!,7669,127.82,2140596,"Morgan Housel, global expert on personal finance, shares powerful lessons on Warren Buffett’s hidden struggles, Elon Musk’s sacrifices, money trauma and financial habits, how to invest...",,
https://www.youtube.com/watch?v=ZE_H7rijrVk,"No. 1 Sugar Expert: You've Been Sold A Lie About ""Healthy"" Food!",6648,110.8,2264874,"Dr. Robert Lustig, a world-leading expert on sugar addiction, metabolism, ultra-processed food, and artificial sweeteners, reveals how they fuel obesity, dementia, dopamine overload, and addiction...",,
https://www.youtube.com/watch?v=Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: Is Not Believing In God Causing More Harm Than Good?!,12065,201.08,2718430,"Greg Koukl (Christian), Alex O’Connor (atheist), and Dr K (psychiatrist) explore why so many feel lost, whether God is the answer, how death anxiety drives our search for meaning, and how...",,
https://www.youtube.com/watch?v=DazRYdqZRDI,Secret Agent: Authenticity Is Quietly Sabotaging You! Do This & They'll Stop Respecting You!,9972,166.2,1564072,"Is Authenticity Quietly KILLING Your Career?  Former Secret Agent Evy Poumpouras reveals how being “real” at work can SABOTAGE your leadership, and breaks down elite strategies for emotional...",,
https://www.youtube.com/watch?v=gryta3KZKU4,Insulin Doctor: The Fastest Way To Burn Dangerous Visceral Fat! I'm Finding Mould In My Patients!,6867,114.45,5933088,What if EVERYTHING your doctor told you about heart disease is completely WRONG?  World-renowned cardiologist Dr. Pradip Jamnadas drops BOMBSHELLS that will make you question decades of medical...,,
https://www.youtube.com/watch?v=QMzxNfX-uAg,Matthew McConaughey: The Silent Crisis No One Is Talking About! I Sabotaged My Own Career!,7575,126.25,2789374,"54 films. Global fame. But what price did he pay? In this powerful conversation, Matthew McConaughey opens up about the dark side of fame, the one decision that changed his life, and why resistance...",,
https://www.youtube.com/watch?v=XTGlde-Pbd8,No.1 Money Saving Experts: Do Not Buy A House! Putting Money In A Bank Makes You Poorer!,7796,129.93,2292349,"Are we falling for the biggest money traps of our generation? And what are the money habits that actually build millions? Raoul Pal, Jaspreet Singh, and Humphrey Yang reveal the truth about...",,
https://www.youtube.com/watch?v=49RT6SQ8n0Y,"Ray Dalio: We’re Heading Into Very, Very Dark Times! America & The UK’s Decline Is Coming!",5657,94.28,5123217,"Ray Dalio turned $5 into $160 billion by decoding how empires rise and fall. Now he warns: America is in decline, the UK is in trouble, China is gaining power…and your wealth could be in...",,
https://www.youtube.com/watch?v=QXUNnXHXeVQ,The Sugar Doctor: The Simple Diet That Prevents 80% of Disease!,5486,91.43,1347591,"Dr. Andrew Koutnik led the longest-ever human study on the ketogenic diet and spent 15+ years studying metabolism, now Dr Andrew Koutnik reveals what the science says about fat loss, depression,...",,
https://www.youtube.com/watch?v=UclrVWafRAI,The AI Safety Expert: These Are The Only 5 Jobs That Will Remain In 2030! - Dr. Roman Yampolskiy,5258,87.63,11851834,"WARNING: AI could end humanity, and we’re completely unprepared. Dr. Roman Yampolskiy reveals how AI will take 99% of jobs, why Sam Altman is ignoring safety, and how we’re heading toward...",,
https://www.youtube.com/watch?v=jDG1m_b5Ih0,World No.1 Fasting Expert: The Link Between Cancer & Fasting That They're Hiding From You!,4869,81.15,3665906,"Dr. Alan Goldhamer is one of the world’s top experts on fasting, and the Founder and Director of TrueNorth Health Center, where over 25,000 people have reversed chronic illnesses through...",,
https://www.youtube.com/watch?v=fu6bYPTp_kE,Former CIA Spies (NEW): Leave the USA Before 2030! The CIA Tried To Ban This Story!,9150,152.5,4558531,"Ex-CIA spies Andrew and Jihi Bustamante expose the TOP SECRET mission the CIA don’t want you to hear on uncovering a traitor, and the spy hacks that could change your life.   Andrew Bustamante...",,
https://www.youtube.com/watch?v=3C185Gkgg0U,The Fat Burning Expert: The REAL Reason You’re Not Losing Belly Fat (and How To Fix It Fast!),7590,126.5,2055447,"Alan Aragon is a leading researcher, expert, and educator in fitness nutrition with over 30 years of experience in the field. He is also a nutrition consultant for Men’s Health magazine,...",,
https://www.youtube.com/watch?v=qgeQ5kMVwRA,Mohnish Pabrai: FASTEST Way To Financial Freedom! Proven Playbook For Quitting Your 9-5 In 9 Months!,6367,106.12,4382733,"Is copying Warren Buffett the fastest way to get rich? Mohnish Pabrai reveals the strategy to turn 1K into 10K in 30 days, quit your job safely, build passive income, and master the step-by-step...",,
https://www.youtube.com/watch?v=5wXlmlIXJOI,Brain Experts WARNING: Watch This Before Using ChatGPT Again! (Shocking New Discovery),5546,92.43,2152435,"Dr Daniel Amen is a renowned brain health expert who has scanned the brains of Justin Bieber, Miley Cyrus, and Kendall Jenner. He is joined by Dr Terry Sejnowski, a pioneer in computational...",,
https://www.youtube.com/watch?v=yfEQRqFo2bI,Neuroscientist (Dr. Tara Swart): Evidence We Can Communicate After Death!,6255,104.25,4573496,"What if your brain filters out true reality? World-leading neuroscientist Dr Tara Swart reveals why we have 34 senses, not 5, how grief cracked open her consciousness, and the shocking science...",,
https://www.youtube.com/watch?v=5Jk5XCLAr6w,5 Natural Medicines Big Pharma Are Hiding From You! No.1 Herbal Medicine Expert,8032,133.87,3633717,"Is the root of every illness your gut? Could 5 simple herbs replace your medicine cabinet? Natural remedy expert Simon Mills reveals the herbal medicines that doctors overlook, and the herbs,...",,
https://www.youtube.com/watch?v=hVlAOIUA71Y,"The SIMPLE (& Proven) Way To Earn $100,000 From Nothing! | The Money Making Experts",8491,141.52,1901160,"Alex Hormozi, Codie Sanchez & Daniel Priestley reveal the $1k→$100k offer blueprint.  What if your first $100k is 90 days away? Three of the internet’s most-copied money makers share their...",,
https://www.youtube.com/watch?v=S9a1nLw70p0,Ex-Google Exec (WARNING): The Next 15 Years Will Be Hell Before We Get To Heaven! - Mo Gawdat,9252,154.2,4593847,"Mo Gawdat sounded the alarm on AI, and now he’s back with an even bigger warning: AI will cause global collapse, destroy jobs, and launch us into a 15-year dystopia that will change everything....",,
https://www.youtube.com/watch?v=W0vTZrZny6A,"Top Psychologist, Donald Hoffman: Seeing True Reality Would Kill Us! I Can Prove It To You!",7263,121.05,4386929,"WARNING: Nothing you see is real, and your brain evolved to hide the truth?! Top psychologist Donald Hoffman reveals the mathematical proof we’re living in a virtual illusion, how space-time...",,
https://www.youtube.com/watch?v=JCTb3QSrGMQ,Anti-Aging Expert: Missing This Vitamin Is As Bad As Smoking! The Truth About Creatine!,10729,178.82,4135078,"Anti-aging expert Dr Rhonda Patrick reveals how magnesium, HIIT workouts, creatine, and vitamin D can prevent disease, slow aging, and boost brain power - starting today.   Dr. Rhonda Patrick...",,
https://www.youtube.com/watch?v=1NLoTuRR3hE,"America Is at Breaking Point, Is Gavin Newsom America’s Next President?",6775,112.92,1025412,"The California Governor Gavin Newsom breaks his silence on the 2028 US presidential campaign, exposes the TRUTH about the Epstein files, reveals what Trump REALLY told him after calling him...",,
https://www.youtube.com/watch?v=NxTsA72O5x0,Nischa Shah: They’re Lying To You About Buying a House! My 652510 Rule Built $200K Passive Income!,7741,129.02,3192090,"Personal Finance Expert Nischa Shah breaks down the 65-20-15 hack to making money, why saving for a house might RUIN your path to financial freedom, and how to build REAL wealth through passive...",,
https://www.youtube.com/watch?v=wQJlGHVmdrA,Vitamin D Expert: The Fastest Way To Dementia & The Big Lie About Sunlight!,7516,125.27,9423109,"Is your daily routine ruining your health? Is THIS habit silently triggering dementia?  Vitamin D Expert Dr. Roger Seheult reveals how sunlight exposure, caffeine intake, and sleep can impact...",,
https://www.youtube.com/watch?v=I-iyGGPabpI,You’re Watching the End of the World in Real Time - Eric Weinstein,8995,149.92,5489935,"Eric Weinstein sounds the alarm on AI threats, corrupt science, drone warfare, nuclear war, and deep-state secrets like Epstein. A world-renowned thinker, he asks: Are Elon Musk and the laws...",,
https://www.youtube.com/watch?v=8qObdS-bhRM,WW3 Threat Assessment: World War III Has Quietly Started!,9351,155.85,6842515,"Annie Jacobsen, Andrew Bustamante and Benjamin Radd issue a WARNING about World War 3: The West is collapsing, nuclear threats are rising. Are we heading to World War 3 under trump? Former...",,
https://www.youtube.com/watch?v=dm2qDrb3UVo,Dr. K: This Group Of Men Are Slowly Going Extinct!,7040,117.33,2565841,"World-Renowned Addiction Expert Dr. K reveals the SHOCKING truth about masturbation, pornography, dopamine burnout, incels, and why 60% of men under 30 are single. Dr K from Healthy Gamer!...",,
https://www.youtube.com/watch?v=hxsnk90VwCo,World Expert on Love: Your Brain Already Picked Your Partner (But They’re Lying About Monogamy),8405,140.08,1708337,"World Renowned Fatherhood Expert Dr Anna Machin reveals the #1 lie about monogamy, how cheating hijacks human brains, and the evolutionary truth behind love, trust, and fatherhood!  Dr Anna...",,
https://www.youtube.com/watch?v=mpAZehPviLQ,"Kevin O'Leary: Every Time You Get Paid, Do This! It 10xs Your Income Without Having To Work Harder!",6761,112.68,6193555,"@SharkTankGlobal 's @kevinoleary reveals the truth about wealth, business, investing, saving, marriage, Steve Jobs, Elon Musk and getting rich! Kevin O'leary from Shark Tank!  He explains:...",,
https://www.youtube.com/watch?v=puc5pZVsFPY,Tom Aspinall Opens Up About Brain Damage & His Future In the UFC,7870,131.17,618082,"BREAKING: Tom Aspinall becomes the undisputed UFC Heavyweight Champion. He reveals the truth about Jon Jones’ retirement, and breaks down the champion mindset, fear, and mental toughness...",,
https://www.youtube.com/watch?v=vIbLQQ1i56Y,Secret Buddhist Practice To Stop Self Hate & Overthinking!,6656,110.93,1951314,"From 6 years in isolation to sounding the alarm, Buddhist Gelong Thubten reveals the hidden epidemic no one is talking about with stress, depression, buddhism, meditation, mental health and...",,
https://www.youtube.com/watch?v=ZHuZ_8VYCWA,DEBATE: Feminist Women Vs Non-Feminist Women,8853,147.55,2062442,"Has modern feminism betrayed the very women it promised to empower? Deborah France-White (Guilty Feminist), Louise Perry, and Erica Komisar go head-to-head on sexual freedom.  Deborah Frances-White...",,
https://www.youtube.com/watch?v=giT0ytynSqg,Godfather of AI: They Keep Silencing Me But I’m Trying to Warn Them!,5408,90.13,11894238,"He pioneered AI, now he’s warning the world. Godfather of AI Geoffrey Hinton breaks his silence on the deadly dangers of AI no one is prepared for.  Geoffrey Hinton is a leading computer...",,
https://www.youtube.com/watch?v=QCaFWrT0j-g,Sex Expert (Esther Perel): The Relationship Crisis No One Talks About That's Killing Your Sex Life!,5302,88.37,1979308,"Swipe left, feel empty, and wonder why? Esther Perel reveals the hidden truths behind the dating crisis, loneliness, and the shocking decline in sex and intimacy.  Esther Perel is a world-renowned...",,
https://www.youtube.com/watch?v=j4z25zj6bmE,"Scooter Braun: When Everything Broke, It Fixed Me",6851,114.18,3255836,"What happens when you build a billion-dollar music empire, but lose yourself along the way? Music mogul Scooter Braun reveals the raw truth behind his mask.  Scooter Braun is a renowned music...",,
https://www.youtube.com/watch?v=ZznpMh0DegE,Invest in This – It’ll Be Worth $1.5 Million by 2030 | World Leading Investing Expert,6067,101.12,5682939,Cathie Wood joins me today. Is everything you thought you knew about investing is about to change forever? Cathie reveals the best investments to make in 2025 to get rich fast.   She explains:...,,
